Person,Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Approx Suspended
Kivster,America First,2022-10-05,Suspended,@kivvykiv,,,,,,2022-10-05
Kivster,America First,2022-10-08,Suspended,@legotohtrapist,,,,,,2022-10-08
Kivster,America First,2022-11-16,Suspended,@kivsterguy,,,,,,2022-11-16
Knight of Cups,America First,2022-06-14,Suspended,@WillToGroyper,1525864269853736960,,,,2022-05-15,2022-06-14
Knight of Cups,America First,2022-10-19,Suspended,@SunSeekingPlant,,,,,,2022-10-19
Latino Zoomer,America First,,Suspended,@ZoomerLatino,,,,,,
Lavrov,America First,2022-10-29,Suspended,@punishedlavrov,,,,,,
Lavrov,America First,2022-11-02,Suspended,@goinglavrov,,,,,,2022-11-02
Lavrov,America First,2022-11-08,Suspended,@lavrember,,,,,,
Lavrov,America First,2022-11-10,Suspended,@LavLav1000,,,,,,2022-11-10
Lavrov,America First,2022-11-12,Suspended,@azurerussian,,,,,,2022-11-12
Lavrov,America First,2022-12-16,Suspended,@Lavye24,,,,,,2022-12-16
Lavrov,America First,2023-01-03,Suspended,@ForeignM1nister,,,,,,2023-01-03
Leafy,America First,2022-05-07,Suspended,@leafy_is_alive,,,,,,
Leafy,America First,2022-07-02,Suspended,@BasedSouthGroyp,1543100612933328896,Based Southern Groyper,5,28,2022-07-01,2022-07-03
Leanhead,America First,2022-08-06,Suspended,@NicksTopSipper,,,,,,
Leanhead,America First,2022-08-08,Suspended,@LeanSippingCHUD,,,,,,2022-08-08
Leanhead,America First,2022-08-27,Suspended,@DatPurpNigga,,,,,,2022-08-27
Leanhead,America First,2022-08-31,Suspended,@LeanheadAF,,,,,,2022-08-31
Leanhead,America First,2022-09-17,Suspended,@DarkLeanArc,,,,,,2022-09-17
Lemon Groyp,America First,2022-11-23,Suspended,@LemonGloyp,,,,,,2022-11-23
Lemon Groyper,America First,2019-01-18,Suspended,@LemonFarmer2,,,,,,2019-01-18
Lemon Groyper,America First,2022-06-21,Suspended,@LemonFarmer4,,,,,,2022-06-21
Lenton,America First,2021-07-22,Suspended,@shadlentil,1418300672924131331,Tom Turkey Fries Lenton,573,,2021-07-22,2021-11-23
Lenton,America First,2022-02-20,Suspended,@crispslenton,1463153635639050248,Fries Lenton (dat n*gga u kno),452,,2021-11-23,2022-02-23
Lenton,America First,2022-03-10,Suspended,@It0nlhIipfiselO,2790949144,LentonChipsfries,348,,2014-09-29,2022-03-10
Lenton,America First,2022-04-30,Suspended,@frieslenton88,1519761693575942144,Fries Lenton,393,,2022-04-28,2022-05-01
Lenton,America First,2022-05-19,Suspended,@KittyLenton1,,,,,,2022-05-19
Lenton,America First,2022-07-25,Suspended,@karlentonin,,,,,,2022-07-25
Leo Groyper,America First,2022-10-05,Suspended,@Leo_Gloyper,,,,,,
Leo Groyper,America First,2022-10-10,Suspended,@Not_Leo_Groyper,,,,,,2022-10-10
Leo Groyper,America First,2022-10-14,Suspended,@LaGroyp,,,,,,2022-10-14
Lewis Armistead,America First,2022-06-04,Suspended,@LewisArmistead3,1491370062250348553,,,,2022-02-08,2022-06-04
Lewis Armistead,America First,,Suspended,@LewisArmistead2,,,,,,
Lone Star Groyper,America First,2021-12-07,Suspended,@LoneStarGroyp,1468055520753848320,Lone Star Statist,94,,2021-12-07,2021-12-23
Lone Star Groyper,America First,2022-03-13,Suspended,@LoneStarGloyp,1478993201008676868,LoneStarStatist,222,,2022-01-06,2022-03-14
Lone Star Groyper,America First,2022-05-03,Suspended,@lonestarrapist,1517709559799992320,LONE STAR STATIST,197,,2022-04-22,2022-05-04
Lone Star Groyper,America First,2022-05-31,Suspended,@lonefartgroyp,1529688515453255681,,,,2022-05-25,2022-05-31
Lone Star Groyper,America First,2022-06-01,Suspended,@lonestarnitro,,,,,,2022-06-01
Lone Star Groyper,America First,2022-06-14,Suspended,@leanstarstatist,1532226131297959936,,,,2022-06-01,2022-06-10
Lone Star Groyper,America First,2022-06-14,Suspended,@lonefartnigga,,,,,,2022-06-14
Lone Star Groyper,America First,2022-06-20,Suspended,@lonelystatist,,,,,,2022-06-20
Lone Star Groyper,America First,2022-07-05,Suspended,@lonestargroyper,,,,,,2022-07-05
Lone Star Groyper/Statist,America First,2022-07-18,Suspended,@niggasfarting,,,,,,2022-07-18
Lone zoomer,America First,2021-12-07,Suspended,@lonezoomer,1468061654457806851,lonezoomer,,,2021-12-07,2021-12-23
Lone zoomer,America First,2022-02-04,Suspended,@LetsRapeBrandon,1473775422118711303,lonezoomer,179,,2021-12-22,2022-02-15
Lone zoomer,America First,2022-02-14,Suspended,@rapestar88,1503428659776049158,lonezoomer,109,,2022-02-14,2022-03-16
Lone zoomer,America First,2022-03-16,Suspended,@qresearchteam,1504094097321218056,lonezoomer (refollow),146,,2022-03-16,2022-03-17
Lone zoomer,America First,2022-03-17,Suspended,@banishedperson,1504477221771104263,lone,42,,2022-03-17,2022-03-18
Lone zoomer,America First,2022-03-20,Suspended,@BillNyegger,1505692085504069635,hi im on app i like the news and keeping up on thi,35,,2022-03-20,2022-03-23
Lone zoomer,America First,2022-03-24,Suspended,@darkQhistorian,1504466242899484672,Ionezoom3r ,86,,2022-03-17,2022-03-25
Lone zoomer,America First,2022-03-25,Suspended,@lonezoom3r,1507408686880333828,,79,,2022-03-25,2022-03-28
Lone zoomer,America First,2022-03-28,Suspended,@Ionedoomer,1508456278980444163,Ionedoomer,83,,2022-03-28,2022-03-29
Lone Zoomer,America First,2022-05-08,Suspended,@goyboss,,,,,,2022-05-08
Lone Zoomer,America First,2022-05-10,Suspended,@epicgoymoments,,,,,,2022-05-10
Lone Zoomer,America First,2022-05-26,Suspended,@lone_v17,1529461818950918145,lone,126,,2022-05-25,2022-05-26
Lone Zoomer,America First,2022-05-26,Suspended,@racistkanyefan,1507408686880333828,,,,2022-03-25,2022-05-25
Lone Zoomer,America First,2022-05-28,Suspended,@qzoomer_,,,,,,2022-05-29
Lone Zoomer,America First,2022-05-29,Suspended,@newgoyonline,,,,,,2022-05-27
Lone Zoomer,America First,2022-05-30,Suspended,@newguyalert,1530971442510282754,LZ,102,,2022-05-29,2022-05-31
Lone Zoomer,America First,2022-06-01,Suspended,@LZfren,,,,,,2022-06-01
Lone Zoomer,America First,2022-06-06,Suspended,@RightHandRaiser,1531667299450732549,,,,2022-05-31,2022-06-06
Lone Zoomer,America First,2022-06-15,Suspended,@incidental156,1533873635743629312,,,,2022-06-02,2022-06-15
Lone Zoomer,America First,2022-10-10,Suspended,@dreamcore24,,,,,,2022-10-10
LoneZoomer,America First,2022-05-25,Suspended,@fakecelhunter,1526236429352943616,,,,2022-05-16,2022-05-23
Lonezoomer,America First,2022-10-12,Suspended,@dreamcel99,,,,,,2022-10-12
LoneZoomer,America First,2022-11-23,Suspended,@apoliticaluser1,,,,,,
LoneZoomer,America First,2022-12-16,Suspended,@notpolitical111,,,,,,2022-12-16
Long Island Groyper,America First,2022-05-25,Suspended,@LIToadAF,1513598588412219392,,,,2022-04-11,2022-05-25
Long Island Groyper,America First,2022-06-01,Suspended,@PunishedLI,1532022478905651200,Punished LI,53,,2022-06-01,2022-06-02
Long Island Groyper,America First,2022-06-29,Suspended,@Pragroyper,,,,,,2022-06-29
Lord Maryland,America First,2022-05-26,Suspended,@l0rdmd,1529652049897570304,LordMaryland,73,,2022-05-25,2022-05-26
Lord Maryland,America First,2022-05-26,Suspended,@lordmrylnd,1527861312910393344,,,,2022-05-20,2022-05-25
Lord Maryland,America First,2022-05-27,Suspended,@l0rd0fmerrylnd,,,,,,2022-05-27
Lord Maryland,America First,2022-06-01,Suspended,@Lord0fM,,,,,,2022-06-01
Lord Maryland,America First,2022-06-01,Suspended,@lord0fmut,,,,,,2022-06-01
Lord Maryland,America First,2022-06-02,Suspended,@punishedlm,1532106100778180620,LordMaryland,118,,2022-06-01,2022-05-02
Lord Maryland,America First,2022-06-04,Suspended,@punishedlm2,1532505114535071744,,,,2022-06-02,2022-06-04
Lord Maryland,America First,2022-06-06,Suspended,@punishedl0rdmd,,,,,,2022-06-06
Lord Maryland,America First,2022-06-14,Suspended,@punishednitromd,,,,,,2022-06-11
Lord Maryland,America First,2022-06-15,Suspended,@mdpunished,,,,,,2022-06-15
Lord Maryland,America First,2022-06-15,Suspended,@punishedagainmd,,,,,,2022-06-14
Lord Maryland,America First,2022-06-17,Suspended,@Punishedlord,,,,,,2022-06-17
Lord Maryland,America First,2022-06-17,Suspended,@Punishedlordm,,,,,,2022-06-17
Lord Maryland,America First,2022-06-25,Suspended,@LordMpunished,,,,,,2022-06-25
Lord Maryland,America First,2022-09-03,Suspended,@I0rd0fmd,,,,,,2022-09-03
LordMaryland,America First,2021-11-16,Suspended,@LordMaryland,886803541796556801,,,,2017-07-16,2021-11-16
LordMaryland,America First,2022-05-13,Suspended,@LordMland,1472015687778508802,LordMaryland,405,,2021-12-17,2022-05-13
Louis Groyper,America First,2022-06-17,Suspended,@louisgroyper,,,,,,2022-06-17
Louis Groyper,America First,2022-06-20,Suspended,@zoomerludwig,,,,,,2022-06-20
Louis Groyper,America First,2022-07-03,Suspended,@PrinceCGroyper,1543693702110924800,Prince Charming,62,5,2022-07-03,2022-07-04
Louis Groyper,America First,2022-08-08,Suspended,@_Anglo_Eternal,,,,,,2022-08-08
Louis Groyper,America First,2022-08-16,Suspended,@halfirishnibba,,,,,,2022-08-16
Louis groyper,America First,2022-09-02,Suspended,@papist_anglo,,,,,,2022-09-02
Louis Groyper,America First,2022-10-14,Suspended,@anglo_groyper_,,,,,,2022-10-14
Louis Groyper,America First,2022-10-28,Suspended,@anglosneverdie,,,,,,2022-10-30
Louis Groyper,America First,2022-11-21,Active,@angloontheapp,,,,,,
Louis Groyper,America First,,Suspended,@lougroyper,,,,,,
Luma,America First,2022-06-02,Suspended,@DuckEnthusiast,1530633816024436736,luma ,481,,2022-05-28,2022-06-02
Luma,America First,2022-06-06,Suspended,@wantanygrapes,,,,,,2022-06-06
MA Groyper,America First,2022-06-08,Suspended,@MA_Groyper,1348827460050309123,,,,2021-01-11,
MA Groyper,America First,2022-06-08,Suspended,@TheMassCasual,,,,,,2022-06-08
Mack,America First,2022-11-18,Suspended,@WiggerDefender,,,,,,2022-11-18
Mack Groyper,America First,2020-12-27,Suspended,@redpilledracist,1504062291859410944,who is mack,41,,2022-03-16,2022-03-17
Mack Groyper,America First,2022-03-12,Suspended,@MackGroyper,1493672397135880194,Perhaps Mac ,,,2022-02-15,2022-03-12
Mack Groyper,America First,2022-03-13,Suspended,@QuackGroyper,1502714287760060421,Maybe Mac,199,,2022-03-12,2022-03-14
Mack Groyper,America First,2022-03-16,Suspended,@rapecommitter,1503410538864390146,Maq ,,,2022-03-14,2022-03-16
Mack Groyper,America First,2022-03-18,Suspended,@SpeedRaper,1504555544740302851,Mach,41,,2022-03-17,2022-03-18
Mack Groyper,America First,2022-03-19,Suspended,@SpeedRape,1505052813210136578,Mach 2,9,,2022-03-19,2022-03-20
Mack Groyper,America First,2022-03-30,Suspended,@SchizQphrenia,115966900,M-ck ,162,,2010-02-20,2022-03-30
Mack Groyper,America First,2022-03-31,Suspended,@SchizQFrenia,1353816519495577600,Maq,32,,2021-01-25,2022-04-01
Mack Groyper,America First,2022-04-13,Suspended,@schizQfren,1509998057596805134,muack,90,,2022-04-01,2022-04-13
Mack Groyper,America First,2022-04-23,Suspended,@BrickedUpIncel,1514444648219095040,,,,2022-04-13,2022-04-25
Mack Groyper,America First,2022-04-26,Suspended,@MackFrend,1518607703760941057,Mack,250,,2022-04-25,2022-04-26
Mack Groyper,America First,2022-05-05,Suspended,@FarnMack,1522036568596238337,Trevor Bauer Fan,130,,2022-05-04,2022-05-06
Mack Groyper,America First,2022-05-15,Suspended,@MaqFren,1518983739371507714,,,,2022-04-26,2022-05-15
Mack Groyper,America First,2022-05-25,Suspended,@MachFren,1525942287116775426,,,,2022-05-15,2022-05-25
Mack Groyper,America First,2022-05-28,Suspended,@brickeduprapist,1529872030450917376,,,,2022-05-26,2022-05-29
Mack Groyper,America First,2022-05-30,Suspended,@brickedupnigger,1531008797686304768,Mash,113,,2022-05-29,2022-05-29
Mack Groyper,America First,2022-06-01,Suspended,@junkyardrapist,,,,,,2022-06-01
Mack Groyper,America First,2022-06-05,Suspended,@rapegangmember,1532227712852664323,,,,2022-06-01,2022-06-05
Mack Groyper,America First,2022-06-11,Suspended,@fullmetalrape,,,,,,2022-06-11
Mack Groyper,America First,2022-06-11,Suspended,@rapehead,,,,,,2022-06-08
Mack Groyper,America First,2022-06-19,Suspended,@rapefren,,,,,,2022-06-19
Mack Groyper,America First,2022-08-02,Suspended,@GretaThuGroyper,,,,,,2022-08-02
Magic Groyper,America First,2021-07-05,Suspended,@MagicGroyper,1384631130297667587,,,,2021-04-20,2021-07-05
Magic Groyper,America First,2022-04-26,Suspended,@MagicGroyper11,1518774024611975175,Magic Groyper,76,,2022-04-25,2022-04-26
Magic Groyper,America First,2022-05-08,Suspended,@winawanti,2789611638,Magic Groyper,192,,2014-09-04,2022-05-08
Magic Groyper,America First,2022-05-28,Suspended,@Shiyal7,,,,,,2022-05-28
Magic Groyper,America First,2022-06-01,Suspended,@magic_fren,,,,,,2022-06-01
Magic Groyper,America First,2022-06-10,Suspended,@MagicIncel6000,1534016488226562053,,,,2022-06-06,2022-06-11
Magic Groyper,America First,2022-06-17,Suspended,@lepecanoe,,,,,,2022-06-17
Magic Groyper,America First,2022-06-19,Suspended,@gooseplonk,,,,,,2022-06-19
Magic Groyper,America First,2022-09-26,Suspended,@ZoomerMagic22,,,,,,2022-09-26
Magic Groyper,America First,2022-09-30,Suspended,@Barbie97846174,,,,,,2022-09-30
Magic Groyper,America First,2022-10-07,Suspended,@Latrish14591825,,,,,,2022-10-07
Magic Groyper,America First,2022-10-19,Suspended,@Carmon99053616,,,,,,Not known
Magic Groyper,America First,2022-11-02,Suspended,@Nicolas13274069,,,,,,2022-11-02
Magic Groyper,America First,2022-11-09,Suspended,@NISAR9956,,,,,,2022-11-15
Mark Robinson Fan,America First,2021-12-07,Suspended,@MarkRobinsonFan,,,,,,2021-12-07
Mark Robinson Fan,America First,2022-06-17,Suspended,@RaperofWomen,,,,,,2022-06-17
Mark Robinson Fan,America First,2022-06-20,Suspended,@Dougladocious,,,,,,2022-06-20
Max Keeble,America First,2022-06-06,Suspended,@MaxKeyBell,1518732804795813889,,,,2022-04-25,2022-06-06
Max Keeble,America First,2022-11-03,Suspended,@MKGroyper,,,,,,2022-11-03
Max Keeble,America First,,Suspended,@KeebleGroyper,,,,,,
Maxie,America First,2022-05-31,Suspended,@MaxieSippinLean,,,,,,2022-05-31
MaxieBro,America First,2022-05-29,Suspended,@MaxieReturns,1518742352554250240,,,,2022-04-25,2022-05-28
MaxieBro,America First,2022-05-29,Suspended,@nibbamaxthechad,943920273295839232,,,,2017-12-18,2022-08-28
Maximus,America First,2022-02-27,Suspended,@tradzoomer,1096819011055243269,,,,2019-02-16,2022-02-27
Maximus,America First,2022-05-10,Suspended,@tradzoomer6000,1522382568397627392,,,,2022-05-05,2022-05-10
Maximus,America First,2022-05-15,Suspended,@tradzoomer88,1524200351838130178,,,,2022-05-10,2022-05-15
Maximus,America First,2022-05-18,Suspended,@tradzoomer316,,,,,,2022-05-18
Meatball Groyper,America First,2021-11-18,Suspended,@MeatballGroyper,1346940364024905735,,,,2021-01-06,2021-11-18
Meatball Groyper,America First,2022-06-06,Suspended,@MeatballGloyper,1529828830591983621,,,,2022-05-26,2022-06-06
Meiji,America First,2022-04-27,Suspended,@TheEmperorAF,1473732548320706562,Meiji ,533,,2021-12-22,2022-04-28
Meiji,America First,2022-05-08,Suspended,@TheGodEmperor_,,,,,,2022-05-08
Meiji,America First,2022-05-31,Suspended,@MeijiSeasonFour,1530181407548514308,,,,2022-05-27,2022-05-31
Meiji,America First,2022-06-01,Suspended,@TGE_____,1518754835419435010,The God Emperor,44,,2022-04-25,2022-06-02
Meiji,America First,2022-06-17,Suspended,@TheGawdEmperor,,,,,,2022-06-17
Meiji,America First,2022-09-04,Suspended,@IjiemGroyper,,,,,,2022-09-04
Meiji,America First,2022-11-28,Suspended,@TheeGawdEmperor,,,,,,2022-11-28
Meiji.,America First,2022-09-24,Suspended,@TehGawdEmprawr,,,,,,2022-09-24
Mewlina,America First,2022-05-21,Suspended,@TaterTotMew,1527270567186944002,Mew,151,,2022-05-19,2022-05-22
Mewlina,America First,2022-05-23,Suspended,@HashbrownMew,,,,,,2022-05-25
Mewlina,America First,2022-05-30,Suspended,@MewtatoChip,1530907733997789185,Mewtato Chip,153,,2022-05-29,2022-05-31
Mewlina,America First,2022-06-02,Suspended,@mashedmewtato,1531568496160780290,Mashed Mewtatos,119,,2022-05-31,2022-06-02
Michael Alberto,America First,2021-12-06,Suspended,@MiguelAlbertoYT,1054636479950082048,,,,2018-10-25,2021-12-06
Michael Alberto,America First,2022-05-21,Suspended,@UnwellMiguel,1468139512610050052,Michael Alberto Replica  YOMA2022,3217,,2021-12-07,2022-05-22
Michael Alberto,America First,2022-05-26,Suspended,@afro_hispanic,1528385014907473922,DeQwan Sanchez ,506,,2022-05-22,2022-05-26
Michael Alberto,America First,2022-05-30,Suspended,@afro_iberian,1529801360971014150,Jamal Lopez ,626,,2022-05-26,2022-05-31
Michael Alberto,America First,2022-06-02,Suspended,@DeionRodriquez,1531585460149145601,Deion Rodriquez,319,,2022-05-31,2022-06-03
Michael Alberto,America First,2022-06-16,Suspended,@BrownShinji,1531767432792133636,,,,2022-05-31,
Michael Alberto,America First,2022-06-19,Suspended,@PunishedKonata,,,,,,2022-06-19
Michael Alberto,America First,2022-06-22,Suspended,@YearOfMA,,,,,,2022-06-22
Michigander Fren,America First,2022-05-12,Suspended,@MichiganderFren,1521952769183260673,Michigander Fren ,204,,2022-05-04,2022-05-12
Michigander Fren,America First,2022-06-01,Suspended,@zoomer_michigan,1525126517029838849,Michigander Zoomer,86,,2022-05-13,2022-06-02
Michigander Fren,America First,2022-06-14,Suspended,@Pun1sh3dM1ch,1532780066438008836,,,,2022-06-02,2022-06-14
Michigander Fren,America First,2022-06-29,Suspended,@Pun1sh3dM1chZmr,,,,,,2022-06-29
Michigander Fren,America First,2022-08-24,Suspended,@Incel_mz,,,,,,2022-08-24
Michigander Fren,America First,2022-08-25,Suspended,@MZY777777,,,,,,2022-08-25
Midwest Groyper,America First,2021-03-24,Suspended,@midwestgroyp,1223061998306500610,,,,2020-01-31,2021-05-24
Midwest Groyper,America First,2022-03-29,Suspended,@middleamerica__,1507782187902504964,midwest fren,151,,2022-03-26,2022-03-22
Midwest Groyper,America First,2022-05-27,Suspended,@Punishedm1ck,,,,,,2022-05-27
Midwest Groyper,America First,2022-05-28,Suspended,@CasbahDweller,1507650064608550914,,,,2022-03-26,2022-05-29
Midwest Groyper,America First,2022-05-29,Suspended,@midwestgroyper,1189945548989747200,,,,2019-10-31,2020-01-14
Midwest Groyper,America First,2022-06-01,Suspended,@DrakeNjosh4L,1530284659887771648,,,,2022-05-27,2022-06-01
Midwest Groyper,America First,2022-06-11,Suspended,@MickGLoyper,,,,,,2022-06-11
Midwest Groyper,America First,2022-10-31,Suspended,@EvictionEnjoyer,,,,,,2022-10-31
Midwest Groyper;Suburban Groyper,America First,2022-05-23,Suspended,@Mickontheapp,,,,,,
Midwest Mick,America First,2022-05-12,Suspended,@MidwestM1ck,1517990382658891776,Mick Groyper,412,,2022-04-23,2022-05-22
Midwest/Mick Groyper,America First,2022-11-16,Suspended,@FactCheckerRape,,,,,,2022-11-16
Midwest/Mick Groyper,America First,2022-11-28,Suspended,@Believer2024,,,,,,2022-11-28
Midwest/Mick Groyper,America First,2022-12-05,Active,@mwgroyper,,,,,,
Mississippi Zoomer,America First,2022-09-30,Suspended,@MississippiZoom,,,,,,
Mississippi Zoomer,America First,2022-10-05,Suspended,@racistgymcel,,,,,,2022-10-05
Mississippi Zoomer,America First,2022-10-07,Suspended,@downsouthzoomer,,,,,,2022-10-07
Mississippi Zoomer,America First,2022-10-10,Suspended,@persecutedzoomr,,,,,,2022-10-10
Missouri Fren,America First,2021-02-15,Suspended,@miseryfrog,1474108902270717953, ,453,,2021-12-24,
Missouri Fren,America First,2021-10-08,Suspended,@MissouriFren,1425612636234866692,Missouri Fren,899,,2021-08-11,2021-11-01
Missouri Fren,America First,2022-03-24,Suspended,@MFReal_,1493691709695348740,mf,293,,2022-02-15,2022-03-24
Missouri Fren,America First,2022-03-24,Suspended,@misfitfrog_,1507032447166386179,misfit frog,46,,2022-03-24,2022-03-25
Missouri Fren,America First,2022-04-25,Suspended,@MisterFren,1513576864891260935,Missouri Fren,423,,2022-04-11,2022-04-25
Missouri Fren,America First,2022-05-25,Suspended,@z_p12345,,,,,,2022-05-25
Missouri Fren,America First,2022-05-27,Suspended,@MOFren_,,,,,,2022-05-27
Missouri Fren,America First,2022-06-01,Suspended,@missourifrog,1532023840091406336,mf,153,,2022-06-01,2022-06-02
Missouri Fren,America First,2022-06-01,Suspended,@RealMOFren,1530567738120208384,,,,2022-05-28,2022-06-01
Missouri Fren,America First,2022-06-09,Suspended,@m1zzy,1533063898080989184,,,,2022-06-02,2022-06-09
Missouri Fren,America First,2022-06-13,Suspended,@missouri_fren,1529171239180324865,,,,2022-05-24,2022-06-13
Missouri Fren,America First,2022-06-13,Suspended,@missouri_fren2,1534691479578353664,,,,2022-06-07,2022-06-13
Missouri Fren,America First,2022-06-30,Suspended,@anoncat_123,,,,,,2022-06-30
Missouri Fren,America First,2022-10-12,Suspended,@MissouriFren_,,,,,,2022-10-12
Missouri Fren,America First,2022-11-14,Suspended,@realestmf_,,,,,,2022-11-14
Missouri Groyper,America First,2021-08-09,Suspended,@missourigroyper,1404544084174426114,,,,2021-06-14,2021-08-09
Missouri Groyper,America First,2022-04-27,Suspended,@missourigroyp,1518740669099085824,Missouri Groyper ,82,,2022-04-25,2022-04-28
Missouri Zoomer,America First,2022-06-30,Suspended,@MissouriZoomer_,,,,,,2022-06-30
MKUltra Zoomer,America First,2022-06-25,Suspended,@mkultrazoomer,,,,,,
MKUltra Zoomer,America First,2022-08-24,Suspended,@MKULTRAZ00MER,,,,,,2022-08-24
Mormon Groyper,America First,2021-12-04,Suspended,@MormonGroyper,,,,,,2021-12-04
Mosley Groyper,America First,2022-01-10,Suspended,@MosleyGroyper,1317339741117992961,,,,2020-10-17,2022-01-10
Mosley Groyper,America First,2022-05-10,Suspended,@zoomershyper,,,,,,2022-05-10
Mr Incredible,America First,2021-12-22,Suspended,@mrincredible,,,,,,
Mr Incredible,America First,2022-08-30,Suspended,@BasedIncredib1e,,,,,,2022-08-30
Mr Incredible,America First,2022-08-31,Suspended,@bmi71277992,,,,,,2022-08-31
Mugipilled Lego,America First,2022-08-24,Suspended,@despicablemugi,,,,,,2022-08-24
Mugipilled Lego Gamer,America First,2021-12-06,Suspended,@m4ngotshihtzu,,,,,,
Mugipilled Lego Gamer,America First,2022-08-23,Suspended,@mangot5hihtzu,,,,,,2022-08-23
Mugipilled Legogamer,America First,2022-08-25,Suspended,@cutelegomugi12,,,,,,
Mugipilled Legogamer,America First,2022-08-25,Suspended,@cutelegomugi12 (2nd account),,,,,,2022-08-25
Mugipilled Legogamer,America First,2022-08-25,Suspended,@lordfarkmord,,,,,,2022-08-25
Mugipilled Legogamer,America First,2022-08-26,Suspended,@mugilegofan12,,,,,,2022-08-26
Mugipilled Legogamer,America First,2022-09-02,Suspended,@cutestlego_mugi,,,,,,2022-09-02
Mugipilled Legogamer,America First,2022-09-09,Suspended,@haruhiloggedon,,,,,,2022-09-09
Mugipilled Legogamer,America First,2022-09-10,Suspended,@Epicanimegirl12,,,,,,2022-09-10
Mugipilled Legogamer,America First,2022-09-12,Suspended,@defrockedhero,,,,,,2022-09-12
Mugipilled Legogamer,America First,2022-09-13,Suspended,@lonlonseller,,,,,,2022-09-13
Mugipilled Legogamer,America First,2022-09-14,Suspended,@lonlonvendor,,,,,,2022-09-14
Mugipilled Legogamer,America First,2022-09-21,Suspended,@BWWRepublican,,,,,,2022-09-21
Mugipilled Legogamer,America First,2022-09-26,Suspended,@rebeccabestgirl,,,,,,2022-09-26
Mugipilled Legogamer,America First,2022-09-26,Suspended,@verypunishedmel,,,,,,2022-09-26
Mugipilled Legogamer,America First,2022-09-30,Suspended,@BestGirlRebecca,,,,,,2022-09-30
Mugipilled Legogamer,America First,2022-10-03,Suspended,@wytcastleanime,,,,,,2022-10-03
Mugipilled Legogamer,America First,2022-11-14,Suspended,@soldieroflennon,,,,,,2022-11-14
Mugipilled Legogamer,America First,2022-11-16,Suspended,@LennonAdvocate,,,,,,2022-11-16
Music Groyper,America First,2022-05-28,Suspended,@MusicGroyper,1114213800385892352,,,,2019-04-05,2022-05-28
Music Groyper,America First,2022-05-29,Suspended,@ElektroGroyper,1408827379712245762,,,,2021-06-26,2021-12-07
Music Groyper,America First,2022-06-01,Suspended,@indiegroyper,1531390839754108928,Indie Groyper,60,,2022-05-30,2022-06-02
Music Groyper,America First,2022-06-06,Suspended,@indiegloyper,1532492199748808704,,,,2022-06-02,2022-06-06
Music Groyper,America First,2022-07-06,Suspended,@punishedbrotha,,,,,,2022-07-06
Music Groyper,America First,2022-07-29,Suspended,@punishedtruth,,,,,,2022-07-29
Nate,America First,2021-12-23,Suspended,@BLM1488lol,,,,,,2022-01-04
Nate,America First,2022-02-11,Suspended,@CantStopNate,,,,,,2022-02-13
Nate,America First,2022-02-11,Suspended,@DiggerNick88,,,,,,2022-02-13
Nate,America First,2022-02-15,Suspended,@evilnateh,,,,,,2022-02-16
Nate,America First,2022-02-17,Suspended,@RebornNate14,,,,,,2022-02-18
Nate,America First,2022-02-20,Suspended,@DiggerNick1488,,,,,,2022-02-21
Nate,America First,2022-02-23,Suspended,@CensoredAlt,,,,,,
Nate,America First,2022-02-28,Suspended,@BillKlacks2316,,,,,,2022-02-28
Nate,America First,2022-03-01,Suspended,@NillKiggers88,,,,,,2022-03-01
Nate,America First,2022-03-10,Suspended,@SilencedFren,,,,,,2022-03-10
Nate,America First,2022-03-11,Suspended,@SuspendedFren,,,,,,2022-03-11
Nate,America First,2022-03-13,Suspended,@NotKnownFren,,,,,,2022-03-14
Nate,America First,2022-03-23,Suspended,@chaoticxmorse,,,,,,2022-03-23
Nate,America First,2022-05-25,Suspended,@N01587228,1528694082008129536,Nate,25,,2022-05-23,2022-05-26
Nate,America First,2022-05-26,Suspended,@NateHiggersReal,,,,,,2022-05-23
Nate,America First,2022-06-07,Suspended,@HiggersXV,,,,,,2022-06-07
Nate,America First,2022-06-11,Suspended,@hitler987654323,,,,,,2022-06-01
Nate,America First,2022-06-13,Suspended,@niggernate1,1533988359026229253,,,,2022-06-06,2022-06-11
Nate,America First,2022-06-14,Suspended,@NateHigg3rs88,,,,,,2022-06-13
Nate,America First,2022-06-14,Suspended,@TOSRuleFollower,,,,,,2022-06-14
Nate,America First,2022-06-19,Suspended,@niggernate2,,,,,,2022-06-19
Nate,America First,,Suspended,@NateH1ggers_02,,,,,,
NC Groyper,America First,2021-03-01,Suspended,@NCGroyper,1306440605325832192,,,,2020-09-17,2021-03-01
NC Groyper,America First,2022-06-06,Suspended,@NCAF05,1524799053871071235,,,,2022-05-12,2022-06-06
Nebraska Zoomer,America First,2022-05-08,Suspended,@zoomer_nebraska,,,,,,2022-05-08
Nebraska Zoomer,America First,2022-05-12,Suspended,@ZoomerNebraska,1523327472242151511,Nebraska Zoomer,325,,2022-05-08,2022-05-13
Nebraska Zoomer,America First,2022-05-19,Suspended,@NebraskaZoomer2,,,,,,2022-05-19
Nebraska Zoomer,America First,2022-05-23,Suspended,@NebraskaZoomer3,1500253796458450944,,,,2022-03-05,2022-05-21
